CDN_Event_ID,Server_Region,Latency,Packet_Loss,Buffering_Spike,Failure_Code,Timestamp
CDN00000000,USA,278.62,8.76,True,200,2026-04-06 19:32:59
CDN00000001,UK,101.99,9.57,False,500,2026-01-31 14:26:15
CDN00000002,India,340.52,0.52,False,500,2026-02-03 04:54:01
CDN00000003,Canada,76.68,1.04,False,502,2026-04-07 15:15:47
CDN00000004,UK,139.05,1.24,False,400,2025-09-22 12:22:01
CDN00000005,USA,206.12,1.05,True,500,2025-07-11 02:33:09
CDN00000006,India,87.42,0.7,False,504,2025-06-24 00:37:10
CDN00000007,USA,411.61,0.03,True,502,2026-03-06 13:09:03
CDN00000008,Germany,85.52,3.7,False,200,2025-06-24 02:35:20
CDN00000009,UK,343.93,1.48,False,504,2025-07-31 08:52:04
CDN00000010,India,366.35,0.54,True,500,2025-08-14 16:05:35
CDN00000011,UK,250.33,6.18,True,200,2025-09-15 01:48:52
CDN00000012,USA,261.71,3.27,True,400,2026-03-25 10:22:30
CDN00000013,Germany,302.7,3.73,False,200,2025-12-13 20:15:40
CDN00000014,UK,202.16,6.44,False,400,2025-09-22 02:12:59
CDN00000015,USA,473.69,0.79,False,504,2025-08-28 19:57:14
CDN00000016,Canada,359.11,8.13,True,502,2025-12-22 16:06:54
CDN00000017,Canada,119.98,5.72,False,500,2025-10-12 10:38:08
CDN00000018,India,455.56,1.44,False,400,2026-04-02 04:36:59
CDN00000019,Germany,153.62,7.5,False,500,2025-05-28 10:36:05
CDN00000020,UK,248.39,2.54,True,500,2026-04-22 07:26:15
CDN00000021,Germany,72.62,1.55,True,200,2026-03-12 05:49:02
CDN00000022,USA,272.67,9.77,True,502,2025-09-10 15:22:39
CDN00000023,India,190.17,8.06,True,502,2026-05-14 19:39:10
CDN00000024,Germany,72.42,1.45,False,500,2025-12-16 16:53:28
CDN00000025,Canada,162.29,6.32,False,400,2025-06-28 07:08:11
CDN00000026,Canada,178.39,5.48,True,502,2025-09-03 14:53:10
CDN00000027,UK,216.88,8.76,False,500,2026-02-01 11:33:08
CDN00000028,USA,9.29,7.27,True,400,2026-04-28 12:50:00
CDN00000029,USA,86.35,5.17,True,504,2026-02-25 14:28:02
CDN00000030,Germany,200.69,6.14,False,502,2025-07-20 10:03:58
CDN00000031,UK,283.37,0.4,False,502,2025-10-29 19:30:00
CDN00000032,Germany,28.67,1.5,True,500,2025-09-25 20:57:46
CDN00000033,India,300.93,5.55,True,502,2026-04-26 21:38:57
CDN00000034,Germany,290.58,2.29,False,500,2026-01-29 02:26:17
CDN00000035,UK,200.84,8.73,True,502,2025-11-09 18:45:01
CDN00000036,USA,236.28,6.66,True,504,2026-03-25 03:23:10
CDN00000037,USA,77.38,9.31,False,502,2025-08-15 10:57:17
CDN00000038,Canada,142.43,3.84,False,500,2026-04-20 19:12:36
CDN00000039,India,129.49,2.28,True,500,2026-01-04 22:16:00
CDN00000040,Canada,392.73,7.07,True,504,2025-12-29 01:01:33
CDN00000041,Germany,418.21,7.37,False,504,2026-01-24 23:23:34
CDN00000042,India,118.4,8.75,False,504,2026-02-26 05:03:30
CDN00000043,UK,393.61,5.5,False,400,2025-07-21 12:11:27
CDN00000044,Germany,352.97,6.53,False,502,2025-09-26 09:17:49
CDN00000045,USA,236.06,2.22,True,400,2026-03-25 08:24:38
CDN00000046,USA,126.79,0.45,False,400,2025-08-15 16:51:08
CDN00000047,Germany,230.4,0.88,False,500,2025-06-07 18:28:56
CDN00000048,India,1.79,2.28,False,502,2025-10-12 05:11:22
CDN00000049,UK,79.24,9.61,False,200,2025-08-08 08:13:50
CDN00000050,Germany,377.72,9.71,True,400,2025-11-27 20:52:01
CDN00000051,Germany,486.02,9.2,False,200,2025-06-30 05:16:05
CDN00000052,India,222.45,1.08,False,200,2026-01-01 01:12:56
CDN00000053,India,421.59,5.45,False,504,2025-06-22 23:18:54
CDN00000054,Germany,371.94,2.68,True,500,2025-05-29 08:04:07
CDN00000055,India,233.72,5.04,False,400,2025-12-20 14:43:16
CDN00000056,UK,394.3,6.6,False,400,2026-05-15 16:58:36
CDN00000057,UK,329.32,3.36,False,200,2026-02-18 23:42:00
CDN00000058,Canada,1.64,2.01,True,504,2025-09-30 12:55:06
CDN00000059,India,486.77,2.12,True,200,2025-11-08 23:22:56
CDN00000060,USA,90.19,8.89,False,400,2025-05-28 10:41:51
CDN00000061,USA,267.36,8.33,False,502,2025-11-11 14:19:51
CDN00000062,USA,149.43,1.37,True,504,2026-03-28 17:32:35
