Content_ID,Genre,Release_Date,Language,Duration,Rating,Production_Studio
CONT00000000,Action,2026-04-17 21:16:00,Spanish,158,2.4,Marvel
CONT00000001,Sports,2025-12-29 23:00:18,English,120,9.8,Marvel
CONT00000002,Action,2025-09-22 06:06:14,Spanish,82,3.9,Marvel
CONT00000003,Sports,2026-01-03 20:46:46,Hindi,81,2.4,Sony
CONT00000004,Comedy,2025-08-30 13:46:07,Korean,160,9.0,Warner
CONT00000005,Sports,2026-03-08 12:29:25,English,51,7.3,Disney
CONT00000006,Action,2025-12-22 13:21:43,Spanish,63,1.1,Sony
CONT00000007,Drama,2025-12-02 11:00:06,English,73,1.5,Disney
CONT00000008,Documentary,2025-11-01 17:39:19,Hindi,236,3.9,Warner
CONT00000009,Sci-Fi,2026-02-09 23:41:07,Spanish,56,5.0,Netflix Originals
CONT00000010,Comedy,2026-03-23 22:46:58,Hindi,188,4.1,Warner
CONT00000011,Sci-Fi,2026-04-10 04:21:44,Hindi,103,8.9,Warner
CONT00000012,Comedy,2025-12-28 06:54:58,Korean,228,5.3,Sony
CONT00000013,Drama,2025-12-26 16:21:49,Spanish,214,8.4,Marvel
CONT00000014,Sports,2026-05-11 11:52:52,Hindi,154,3.5,Sony
CONT00000015,Drama,2026-02-12 14:40:58,Spanish,51,6.6,Warner
CONT00000016,Drama,2025-08-18 13:43:51,Hindi,78,7.0,Warner
CONT00000017,Documentary,2025-12-29 10:02:53,English,107,2.8,Sony
CONT00000018,Documentary,2025-09-04 16:42:15,Korean,199,7.9,Warner
CONT00000019,Comedy,2026-03-11 06:33:10,English,110,2.3,Netflix Originals
CONT00000020,Sports,2025-05-28 11:34:05,Spanish,121,2.4,Warner
CONT00000021,Documentary,2026-02-21 23:54:41,Korean,66,3.0,Disney
CONT00000022,Comedy,2025-06-09 08:57:33,Hindi,148,3.5,Marvel
CONT00000023,Comedy,2026-02-06 14:28:19,Korean,63,4.4,Warner
CONT00000024,Action,2025-08-29 06:31:44,English,135,9.9,Netflix Originals
CONT00000025,Action,2025-10-23 05:10:40,Korean,160,7.3,Disney
CONT00000026,Action,2026-01-19 21:42:40,English,214,3.8,Warner
CONT00000027,Sci-Fi,2025-06-14 07:27:16,Korean,30,4.5,Disney
CONT00000028,Sci-Fi,2025-11-21 05:00:24,Korean,141,4.7,Marvel
CONT00000029,Sci-Fi,2026-03-07 17:29:03,Hindi,73,7.4,Disney
CONT00000030,Sports,2026-04-12 03:57:59,Korean,109,9.1,Marvel
CONT00000031,Sci-Fi,2026-03-17 07:02:23,Korean,75,8.0,Warner
CONT00000032,Sports,2025-07-07 12:52:06,Spanish,63,9.0,Disney
CONT00000033,Comedy,2025-09-24 02:43:54,Hindi,33,5.3,Sony
CONT00000034,Documentary,2025-11-21 01:54:47,Spanish,123,4.3,Warner
CONT00000035,Documentary,2026-03-24 04:40:50,Korean,150,9.3,Netflix Originals
CONT00000036,Sports,2025-07-22 22:53:47,Spanish,196,4.3,Netflix Originals
CONT00000037,Sports,2026-01-08 22:19:46,English,197,1.8,Sony
CONT00000038,Drama,2025-11-11 14:50:11,Spanish,49,2.7,Warner
CONT00000039,Sports,2025-06-04 08:58:43,Korean,156,4.2,Disney
CONT00000040,Action,2026-01-05 06:33:28,Korean,212,7.2,Disney
CONT00000041,Action,2025-10-23 11:09:10,Spanish,102,1.5,Warner
CONT00000042,Drama,2025-08-31 17:54:24,Hindi,152,3.2,Netflix Originals
CONT00000043,Sci-Fi,2025-08-03 16:27:58,Hindi,119,8.0,Disney
CONT00000044,Sci-Fi,2025-09-12 07:03:24,Spanish,220,2.8,Warner
CONT00000045,Documentary,2026-02-20 00:02:33,English,103,6.5,Netflix Originals
CONT00000046,Sports,2026-05-24 10:07:50,Spanish,68,7.1,Sony
CONT00000047,Comedy,2026-05-19 18:06:31,Spanish,69,3.3,Netflix Originals
CONT00000048,Sports,2026-04-21 20:07:08,Hindi,56,1.0,Sony
CONT00000049,Sci-Fi,2025-09-17 23:51:12,English,109,1.4,Sony
CONT00000050,Action,2025-11-11 15:39:39,English,87,1.2,Marvel
CONT00000051,Sports,2026-04-28 23:32:52,Spanish,34,5.6,Netflix Originals
CONT00000052,Documentary,2025-11-16 22:48:01,Hindi,58,1.2,Marvel
CONT00000053,Sports,2025-11-28 02:30:21,English,213,5.0,Sony
CONT00000054,Documentary,2026-02-02 08:16:33,Hindi,140,6.0,Warner
CONT00000055,Sci-Fi,2025-06-23 09:31:48,Hindi,126,3.5,Warner
CONT00000056,Comedy,2025-12-08 19:17:54,Korean,115,8.6,Netflix Originals
CONT00000057,Documentary,2025-11-12 06:37:51,Hindi,77,2.1,Warner
CONT00000058,Drama,2025-06-05 17:40:25,English,160,3.5,Marvel
CONT00000059,Sports,2025-10-02 02:41:31,Hindi,47,1.7,Sony
CONT00000060,Sci-Fi,2025-07-29 07:00:01,English,210,7.0,Sony
CONT00000061,Sci-Fi,2026-05-19 12:27:57,Hindi,169,9.9,Disney
CONT00000062,Action,2026-01-03 01:58:26,Korean,84,4.7,Sony
CONT00000063,Comedy,2025-11-02 01:58:41,Korean,82,6.9,Warner
CONT00000064,Documentary,2026-01-20 11:34:19,English,93,1.1,Marvel
CONT00000065,Documentary,2026-01-14 19:02:01,Spanish,118,7.1,Warner
CONT00000066,Drama,2026-01-28 04:46:47,Hindi,30,5.5,Marvel
CONT00000067,Sci-Fi,2026-01-22 20:35:55,Korean,78,1.6,Sony
CONT00000068,Sports,2026-02-09 09:37:37,Korean,74,1.2,Sony
CONT00000069,Drama,2025-09-04 02:54:15,Korean,55,5.1,Sony
CONT00000070,Sports,2025-06-23 04:52:37,Spanish,186,4.2,Sony
CONT00000071,Documentary,2025-08-23 08:29:36,Korean,109,9.4,Marvel
CONT00000072,Comedy,2025-09-16 21:36:10,Korean,50,1.2,Sony
CONT00000073,Sports,2026-05-05 06:18:49,Spanish,230,2.4,Netflix Originals
CONT00000074,Action,2025-12-09 13:21:11,English,192,2.9,Sony
CONT00000075,Drama,2025-07-28 21:35:42,English,103,3.5,Marvel
CONT00000076,Documentary,2026-01-07 12:03:12,Korean,209,1.2,Netflix Originals
CONT00000077,Sports,2025-06-06 13:41:51,English,183,5.2,Netflix Originals
CONT00000078,Drama,2025-08-13 19:51:38,English,116,1.1,Warner
CONT00000079,Comedy,2025-12-24 14:51:35,Spanish,82,6.2,Sony
CONT00000080,Action,2026-02-20 06:11:41,Hindi,45,7.6,Disney
CONT00000081,Sports,2026-02-10 08:44:22,Spanish,46,8.1,Marvel
CONT00000082,Action,2025-09-28 23:23:55,English,171,7.2,Warner
CONT00000083,Drama,2025-12-31 13:03:31,Hindi,220,4.7,Netflix Originals
CONT00000084,Drama,2026-01-31 23:25:02,Spanish,198,3.3,Sony
CONT00000085,Documentary,2025-10-20 03:14:31,Spanish,157,9.0,Netflix Originals
CONT00000086,Sports,2025-06-03 20:57:47,English,35,3.6,Sony
CONT00000087,Action,2025-09-19 03:04:36,English,78,4.7,Sony
CONT00000088,Comedy,2026-02-26 17:14:42,English,109,6.2,Netflix Originals
CONT00000089,Sports,2026-04-17 15:14:25,Spanish,93,2.0,Warner
CONT00000090,Sports,2025-12-27 00:29:44,Korean,92,9.1,Disney
CONT00000091,Sports,2025-12-20 11:16:08,English,40,3.1,Disney
CONT00000092,Sports,2025-07-21 00:42:23,Hindi,213,6.7,Netflix Originals
CONT00000093,Drama,2026-05-27 23:43:48,Korean,47,8.0,Disney
CONT00000094,Sci-Fi,2025-12-06 17:42:16,Spanish,129,6.3,Disney
CONT00000095,Documentary,2025-06-30 02:09:20,Korean,223,4.9,Netflix Originals
CONT00000096,Drama,2026-01-13 04:50:52,English,152,2.1,Warner
CONT00000097,Sports,2026-04-07 08:22:11,Spanish,44,8.6,Sony
CONT00000098,Sports,2026-02-13 13:23:26,Hindi,144,1.1,Sony
CONT00000099,Comedy,2026-05-20 10:49:18,Korean,47,3.2,Sony
CONT00000100,Action,2026-01-09 07:39:30,Spanish,223,6.1,Sony
CONT00000101,Drama,2025-07-11 06:38:51,Spanish,139,6.4,Marvel
CONT00000102,Action,2026-03-28 07:33:36,Korean,186,1.7,Netflix Originals
CONT00000103,Comedy,2025-11-09 07:11:21,Hindi,91,9.8,Warner
CONT00000104,Documentary,2025-08-29 19:01:16,Korean,42,7.5,Warner
CONT00000105,Action,2025-11-05 21:39:09,Hindi,46,6.0,Netflix Originals
CONT00000106,Comedy,2026-05-22 05:53:53,Korean,124,7.4,Marvel
CONT00000107,Sci-Fi,2025-06-24 05:16:13,English,207,6.0,Sony
CONT00000108,Drama,2026-05-22 07:12:36,English,141,8.6,Marvel
CONT00000109,Action,2026-03-05 03:39:28,Korean,96,8.9,Marvel
CONT00000110,Drama,2026-05-04 14:07:52,Hindi,197,8.0,Netflix Originals
CONT00000111,Comedy,2026-02-05 03:59:37,Spanish,204,4.7,Sony
CONT00000112,Drama,2025-12-25 02:55:59,Spanish,47,9.5,Disney
CONT00000113,Documentary,2025-07-19 08:18:23,English,138,5.4,Disney
CONT00000114,Comedy,2025-06-15 05:02:28,English,121,8.5,Warner
CONT00000115,Comedy,2025-09-29 10:48:33,Korean,126,9.6,Disney
CONT00000116,Documentary,2025-08-05 10:59:22,Hindi,239,2.9,Marvel
CONT00000117,Documentary,2026-01-12 03:45:30,Hindi,234,3.7,Disney
CONT00000118,Drama,2026-04-18 14:22:52,Hindi,89,9.0,Warner
CONT00000119,Sci-Fi,2025-07-10 02:35:59,Spanish,49,3.5,Netflix Originals
CONT00000120,Drama,2026-04-21 21:58:46,English,143,4.7,Netflix Originals
CONT00000121,Sports,2026-01-04 18:50:29,English,176,9.6,Warner
CONT00000122,Comedy,2026-03-05 09:52:00,Korean,90,5.1,Sony
CONT00000123,Sports,2025-07-17 11:34:48,Hindi,115,5.5,Warner
CONT00000124,Sports,2025-08-03 14:22:23,Spanish,162,4.5,Disney
CONT00000125,Sports,2026-02-19 17:39:50,Korean,188,8.2,Disney
CONT00000126,Action,2025-10-02 03:34:45,Korean,55,6.8,Warner
CONT00000127,Sci-Fi,2025-10-20 20:55:33,English,169,6.1,Netflix Originals
CONT00000128,Action,2025-09-18 04:07:40,Korean,69,4.8,Warner
CONT00000129,Sci-Fi,2026-01-03 09:59:18,Korean,71,6.4,Netflix Originals
CONT00000130,Sports,2025-07-22 22:25:04,Hindi,100,4.6,Warner
CONT00000131,Action,2026-01-21 15:47:43,English,99,8.0,Netflix Originals
CONT00000132,Drama,2025-06-09 21:19:52,English,35,9.9,Disney
CONT00000133,Documentary,2025-12-16 12:24:03,Spanish,61,4.1,Disney
CONT00000134,Action,2025-08-17 11:19:42,Hindi,207,9.5,Warner
CONT00000135,Drama,2026-03-29 03:18:45,Spanish,128,7.7,Marvel
CONT00000136,Comedy,2025-08-27 10:28:26,English,90,7.9,Marvel
CONT00000137,Drama,2026-01-01 03:59:32,Korean,230,5.0,Warner
CONT00000138,Drama,2025-08-29 03:08:49,Spanish,150,2.3,Disney
CONT00000139,Action,2025-09-14 01:01:19,Spanish,231,9.7,Disney
CONT00000140,Sci-Fi,2025-08-28 07:35:37,Spanish,112,2.0,Sony
CONT00000141,Comedy,2026-03-08 12:55:25,Hindi,31,2.4,Netflix Originals
CONT00000142,Drama,2026-02-28 13:13:03,Spanish,100,1.4,Marvel
CONT00000143,Documentary,2026-04-13 06:41:55,English,74,8.9,Disney
CONT00000144,Action,2026-03-25 03:50:47,English,232,8.7,Sony
CONT00000145,Comedy,2025-10-30 00:13:20,Spanish,102,9.7,Marvel
CONT00000146,Sports,2026-04-25 00:11:34,Korean,177,7.7,Disney
CONT00000147,Documentary,2026-03-06 16:13:36,Hindi,173,7.7,Warner
CONT00000148,Sci-Fi,2026-01-18 23:33:28,English,203,8.4,Sony
CONT00000149,Action,2025-07-21 07:10:15,Hindi,80,4.9,Netflix Originals
CONT00000150,Action,2025-10-09 03:07:02,Korean,111,5.4,Sony
CONT00000151,Documentary,2026-05-17 07:36:28,English,199,5.0,Marvel
CONT00000152,Action,2025-08-11 05:30:47,English,221,3.2,Sony
CONT00000153,Sci-Fi,2026-03-26 18:43:21,Spanish,139,5.9,Netflix Originals
CONT00000154,Documentary,2025-08-05 18:43:25,Spanish,221,5.6,Sony
CONT00000155,Comedy,2025-06-27 06:52:10,Hindi,200,5.6,Sony
CONT00000156,Sports,2026-05-11 10:55:58,English,214,4.7,Marvel
CONT00000157,Action,2025-12-18 15:06:22,Korean,131,8.0,Marvel
CONT00000158,Action,2025-11-16 15:47:49,English,164,4.4,Netflix Originals
CONT00000159,Sci-Fi,2025-07-25 17:27:00,Korean,56,3.4,Marvel
CONT00000160,Sports,2025-12-21 22:17:49,Korean,84,1.8,Netflix Originals
CONT00000161,Documentary,2025-09-03 12:19:34,Hindi,108,7.5,Netflix Originals
CONT00000162,Comedy,2026-04-16 04:06:33,Hindi,211,4.4,Disney
CONT00000163,Sports,2025-06-25 01:56:44,Spanish,91,8.3,Netflix Originals
CONT00000164,Drama,2025-10-09 09:23:20,Hindi,116,7.1,Marvel
CONT00000165,Documentary,2025-09-09 17:27:14,Spanish,231,9.5,Warner
CONT00000166,Comedy,2025-10-19 02:01:16,Korean,127,4.5,Marvel
CONT00000167,Sci-Fi,2025-08-24 21:33:22,Hindi,54,9.5,Sony
CONT00000168,Comedy,2026-05-13 04:39:34,Spanish,120,8.6,Marvel
CONT00000169,Action,2025-09-14 21:44:07,Korean,191,3.1,Marvel
CONT00000170,Comedy,2025-11-25 20:55:32,Spanish,234,8.3,Marvel
CONT00000171,Sci-Fi,2026-02-11 11:15:48,Hindi,157,2.1,Sony
CONT00000172,Comedy,2025-11-01 00:00:34,Hindi,126,5.3,Sony
CONT00000173,Action,2025-10-26 14:35:55,Spanish,223,3.6,Disney
CONT00000174,Drama,2025-12-02 19:29:12,Korean,63,4.7,Disney
CONT00000175,Drama,2025-06-11 07:26:22,Hindi,177,2.2,Netflix Originals
CONT00000176,Sci-Fi,2026-03-22 07:40:16,Korean,103,5.8,Disney
CONT00000177,Action,2026-05-19 15:32:53,English,168,1.9,Netflix Originals
CONT00000178,Sports,2026-04-13 02:24:18,English,178,1.1,Marvel
CONT00000179,Drama,2025-10-18 01:17:06,English,88,5.9,Netflix Originals
CONT00000180,Documentary,2026-03-22 10:41:56,English,69,6.7,Marvel
CONT00000181,Drama,2025-09-30 05:32:15,Korean,161,4.6,Warner
CONT00000182,Sports,2026-02-01 06:14:24,Hindi,95,8.1,Disney
CONT00000183,Drama,2025-12-07 03:45:59,Hindi,189,2.9,Marvel
CONT00000184,Sports,2026-03-01 01:24:22,Spanish,42,8.4,Disney
CONT00000185,Sci-Fi,2026-04-05 22:08:07,Hindi,52,6.7,Sony
CONT00000186,Sci-Fi,2025-09-20 22:47:29,English,225,3.5,Netflix Originals
CONT00000187,Sports,2026-02-10 04:06:20,Hindi,227,7.2,Warner
CONT00000188,Drama,2026-05-09 22:53:19,English,161,9.5,Sony
CONT00000189,Sci-Fi,2025-07-02 03:37:57,Korean,133,9.1,Disney
CONT00000190,Sci-Fi,2025-10-22 12:57:52,Spanish,32,2.8,Marvel
CONT00000191,Action,2025-12-22 00:24:36,English,198,1.2,Disney
CONT00000192,Comedy,2026-01-12 19:16:04,Hindi,224,7.8,Netflix Originals
CONT00000193,Action,2025-07-17 00:25:45,Spanish,166,3.5,Disney
CONT00000194,Documentary,2025-06-05 05:41:02,English,57,8.0,Sony
CONT00000195,Action,2026-04-20 09:15:58,English,110,2.9,Warner
CONT00000196,Action,2025-10-21 00:32:23,Korean,240,6.7,Warner
CONT00000197,Drama,2026-05-16 21:43:21,Spanish,203,5.7,Marvel
CONT00000198,Sci-Fi,2025-06-09 05:32:52,English,172,3.9,Netflix Originals
CONT00000199,Drama,2025-07-04 14:17:41,Spanish,32,8.8,Sony
CONT00000200,Sports,2026-04-05 05:11:43,Spanish,124,5.3,Netflix Originals
CONT00000201,Comedy,2026-03-26 03:45:29,English,193,4.1,Netflix Originals
CONT00000202,Drama,2025-07-17 12:15:44,Spanish,158,3.8,Disney
CONT00000203,Documentary,2025-10-18 10:06:06,English,118,3.2,Netflix Originals
CONT00000204,Comedy,2025-10-17 21:08:53,Korean,157,8.5,Marvel
CONT00000205,Documentary,2026-01-14 03:15:10,Spanish,37,6.2,Marvel
CONT00000206,Drama,2026-01-16 18:48:33,Korean,67,9.8,Sony
CONT00000207,Comedy,2025-12-24 13:44:29,English,100,6.8,Disney
CONT00000208,Sci-Fi,2025-11-16 08:13:58,English,49,8.1,Marvel
CONT00000209,Sports,2025-10-28 17:03:58,Korean,37,5.2,Marvel
CONT00000210,Action,2025-05-28 07:23:20,Korean,117,7.2,Netflix Originals
CONT00000211,Sports,2025-12-26 01:08:21,Spanish,175,9.0,Netflix Originals
CONT00000212,Action,2025-08-22 19:51:01,Spanish,214,8.4,Marvel
CONT00000213,Comedy,2026-02-06 05:55:28,Korean,48,3.5,Warner
CONT00000214,Comedy,2025-06-29 07:26:35,Korean,82,2.9,Disney
CONT00000215,Documentary,2025-12-10 07:08:42,Hindi,135,3.2,Netflix Originals
CONT00000216,Drama,2025-06-11 08:37:39,English,41,8.0,Netflix Originals
CONT00000217,Documentary,2026-04-11 21:07:51,Spanish,95,2.5,Disney
CONT00000218,Documentary,2026-05-14 11:09:42,Korean,73,2.9,Warner
CONT00000219,Sci-Fi,2026-04-04 04:27:49,English,31,9.1,Warner
CONT00000220,Comedy,2025-12-12 02:59:59,Spanish,135,4.6,Disney
CONT00000221,Sci-Fi,2025-08-01 00:32:37,Spanish,160,7.8,Netflix Originals
CONT00000222,Sports,2025-07-02 06:44:16,English,134,4.4,Warner
CONT00000223,Action,2025-12-26 22:38:10,Hindi,33,2.5,Warner
CONT00000224,Action,2025-06-09 01:53:49,Hindi,205,3.1,Warner
CONT00000225,Drama,2025-12-15 06:27:24,Hindi,239,2.1,Netflix Originals
CONT00000226,Sports,2026-05-04 21:14:46,Korean,176,9.4,Netflix Originals
CONT00000227,Comedy,2026-03-02 04:47:52,Korean,229,5.8,Disney
CONT00000228,Comedy,2026-03-26 17:11:57,Spanish,121,2.5,Netflix Originals
CONT00000229,Drama,2025-06-02 13:01:10,Hindi,91,6.7,Netflix Originals
CONT00000230,Sports,2025-07-06 17:16:44,Korean,36,7.2,Disney
CONT00000231,Action,2025-11-24 02:29:20,Korean,238,1.8,Marvel
CONT00000232,Sci-Fi,2025-06-02 00:22:53,Korean,208,5.2,Sony
CONT00000233,Action,2025-08-21 06:31:44,Korean,72,8.7,Sony
CONT00000234,Sci-Fi,2025-09-20 22:59:00,Hindi,130,4.4,Netflix Originals
CONT00000235,Sports,2025-10-18 09:30:20,Hindi,162,8.5,Netflix Originals
CONT00000236,Sports,2025-05-31 20:06:25,Spanish,62,7.6,Disney
CONT00000237,Sports,2026-02-04 14:20:08,Korean,232,7.6,Warner
CONT00000238,Comedy,2026-04-02 15:02:20,Spanish,36,6.8,Netflix Originals
CONT00000239,Drama,2026-03-22 23:12:09,Spanish,37,1.9,Disney
CONT00000240,Comedy,2025-12-29 02:32:08,Korean,139,9.7,Sony
CONT00000241,Sports,2025-10-29 13:15:13,Korean,35,2.7,Netflix Originals
CONT00000242,Drama,2025-07-13 21:15:04,Korean,115,6.3,Disney
CONT00000243,Documentary,2026-02-24 10:58:51,Spanish,94,4.0,Disney
CONT00000244,Documentary,2025-10-05 04:37:19,Hindi,175,7.9,Netflix Originals
CONT00000245,Comedy,2025-07-26 18:22:38,Hindi,197,4.1,Netflix Originals
CONT00000246,Drama,2026-04-09 02:58:46,Hindi,129,9.6,Netflix Originals
CONT00000247,Sci-Fi,2026-04-27 17:38:07,Spanish,194,5.4,Sony
CONT00000248,Documentary,2025-12-04 21:52:40,English,118,3.1,Warner
CONT00000249,Comedy,2025-12-10 20:32:17,English,151,3.0,Warner
CONT00000250,Sci-Fi,2025-10-06 01:43:32,English,112,2.1,Netflix Originals
CONT00000251,Comedy,2025-06-28 17:31:01,Spanish,224,6.6,Disney
CONT00000252,Sports,2026-04-02 18:29:05,Hindi,75,5.3,Disney
CONT00000253,Sports,2026-03-30 10:39:30,English,95,1.4,Marvel
CONT00000254,Drama,2025-11-13 04:27:58,Hindi,102,8.6,Warner
CONT00000255,Action,2025-12-27 00:49:31,Spanish,182,9.7,Sony
CONT00000256,Comedy,2025-08-09 15:55:09,Hindi,187,7.4,Netflix Originals
CONT00000257,Drama,2026-02-14 06:02:14,Spanish,224,9.1,Disney
CONT00000258,Comedy,2025-12-04 02:01:35,Spanish,148,2.7,Disney
CONT00000259,Sci-Fi,2025-11-05 08:16:54,Korean,89,1.5,Disney
CONT00000260,Action,2025-09-08 02:29:13,Spanish,110,6.0,Sony
CONT00000261,Documentary,2025-10-21 23:23:22,English,161,3.8,Netflix Originals
CONT00000262,Documentary,2026-05-27 12:58:12,Korean,97,7.0,Sony
CONT00000263,Action,2025-07-09 10:22:47,English,235,2.5,Disney
CONT00000264,Documentary,2025-11-10 12:19:30,English,104,2.7,Netflix Originals
CONT00000265,Documentary,2025-08-20 04:17:08,English,164,7.1,Warner
CONT00000266,Sports,2025-11-07 23:05:40,Spanish,207,4.7,Warner
CONT00000267,Documentary,2025-06-12 11:27:34,Korean,152,3.3,Disney
CONT00000268,Sci-Fi,2026-05-16 02:30:01,Hindi,102,6.1,Netflix Originals
CONT00000269,Sci-Fi,2025-11-19 09:58:47,English,32,5.0,Disney
CONT00000270,Action,2026-01-13 03:50:22,English,82,1.4,Marvel
CONT00000271,Documentary,2025-10-30 02:28:25,Korean,54,3.6,Sony
CONT00000272,Drama,2025-06-01 18:15:04,Hindi,137,3.7,Marvel
CONT00000273,Comedy,2025-10-11 09:36:31,Spanish,82,9.8,Sony
