Search_ID,User_ID,Search_Query,Recommended_Content,Clicked_Content,Recommendation_Score,Timestamp
SRCH00000000,448763,Sci-Fi,CONT7565,CONT5904,0.95,2025-08-15 05:16:14
SRCH00000001,310227,Action Movies,CONT7020,CONT6942,0.81,2026-01-16 09:17:53
SRCH00000002,303498,Comedy Shows,CONT6306,CONT6653,0.78,2026-02-27 19:46:21
SRCH00000003,440540,KDrama,CONT4675,CONT1929,0.5,2026-03-18 07:28:41
SRCH00000004,359297,IPL,CONT6137,CONT2087,0.31,2025-06-15 04:43:05
SRCH00000005,232375,Action Movies,CONT3811,CONT7223,0.2,2025-06-29 16:21:49
SRCH00000006,592691,KDrama,CONT8801,CONT8815,0.92,2025-09-19 04:08:14
SRCH00000007,991920,Sci-Fi,CONT6280,CONT9675,0.9,2025-12-20 16:14:28
SRCH00000008,405126,IPL,CONT8813,CONT1225,0.72,2025-08-23 23:03:37
SRCH00000009,678964,IPL,CONT1470,CONT9688,0.48,2025-07-15 09:29:29
SRCH00000010,552230,Sci-Fi,CONT7234,CONT4218,0.18,2025-09-05 02:17:32
SRCH00000011,488889,Sci-Fi,CONT2551,CONT9214,0.53,2025-09-23 23:30:53
SRCH00000012,952139,Comedy Shows,CONT1073,CONT5237,0.95,2025-10-31 12:34:33
SRCH00000013,839299,Sci-Fi,CONT5391,CONT8275,0.99,2025-09-11 15:47:56
SRCH00000014,764653,Action Movies,CONT3578,CONT9194,0.02,2026-04-20 10:13:07
SRCH00000015,843221,IPL,CONT2628,CONT1763,0.72,2025-09-23 05:17:49
SRCH00000016,230300,Comedy Shows,CONT9798,CONT6293,0.22,2025-07-19 10:49:46
SRCH00000017,881612,Comedy Shows,CONT3108,CONT1565,0.08,2026-05-05 03:21:18
SRCH00000018,459922,Comedy Shows,CONT8547,CONT3420,0.57,2025-12-31 16:21:37
SRCH00000019,723927,Comedy Shows,CONT9157,CONT1174,0.4,2025-10-19 05:21:28
SRCH00000020,661546,IPL,CONT3593,CONT6714,0.58,2025-09-01 04:46:38
SRCH00000021,391243,IPL,CONT3741,CONT6349,0.0,2025-06-20 00:32:05
SRCH00000022,145653,KDrama,CONT8845,CONT6086,0.46,2025-12-23 22:42:54
SRCH00000023,363928,KDrama,CONT4325,CONT5814,0.6,2025-12-28 08:10:00
SRCH00000024,777994,Sci-Fi,CONT3410,CONT1529,0.68,2026-02-09 21:39:39
SRCH00000025,724760,Comedy Shows,CONT8276,CONT9514,0.34,2026-01-21 19:25:48
SRCH00000026,407897,Comedy Shows,CONT1430,CONT7925,0.87,2025-12-09 12:59:04
SRCH00000027,647734,Action Movies,CONT2980,CONT7566,0.49,2025-12-28 13:17:42
SRCH00000028,341020,Action Movies,CONT9207,CONT5236,0.49,2026-03-13 05:41:02
SRCH00000029,280886,Action Movies,CONT7869,CONT5356,0.71,2026-03-04 19:33:14
SRCH00000030,142767,Action Movies,CONT8090,CONT7028,0.48,2026-03-26 08:37:10
SRCH00000031,959487,Action Movies,CONT4179,CONT9761,0.04,2025-08-01 20:42:43
SRCH00000032,193095,Sci-Fi,CONT7028,CONT3836,0.03,2026-04-18 17:48:22
SRCH00000033,577203,IPL,CONT4960,CONT6699,0.82,2025-07-27 04:11:50
SRCH00000034,205703,Sci-Fi,CONT3342,CONT8871,0.68,2026-01-01 22:47:02
SRCH00000035,423020,KDrama,CONT2994,CONT5715,0.31,2025-12-23 04:27:11
SRCH00000036,862637,Comedy Shows,CONT7716,CONT4582,0.69,2026-03-14 13:01:39
SRCH00000037,721664,Comedy Shows,CONT7721,CONT8468,0.38,2025-10-07 17:49:21
SRCH00000038,644419,KDrama,CONT8712,CONT9985,0.89,2026-02-11 05:28:05
SRCH00000039,765388,IPL,CONT6374,CONT4080,0.74,2025-10-21 21:15:30
SRCH00000040,441248,Comedy Shows,CONT8633,CONT9118,0.79,2025-08-01 21:08:12
SRCH00000041,415000,Action Movies,CONT6069,CONT1480,0.25,2025-08-06 06:45:33
SRCH00000042,250040,Sci-Fi,CONT2016,CONT5592,0.69,2026-05-28 00:54:33
SRCH00000043,484218,IPL,CONT4152,CONT9245,0.4,2025-06-16 15:28:14
SRCH00000044,250650,Action Movies,CONT4732,CONT1205,0.64,2026-02-14 07:16:59
SRCH00000045,831944,IPL,CONT8981,CONT7433,0.63,2026-03-01 00:56:59
SRCH00000046,201496,Comedy Shows,CONT4101,CONT9589,0.07,2025-10-15 13:57:10
SRCH00000047,359203,Sci-Fi,CONT7724,CONT1819,0.4,2025-09-25 15:41:29
SRCH00000048,598708,IPL,CONT6259,CONT5996,0.27,2026-01-17 19:48:51
SRCH00000049,251275,Action Movies,CONT9415,CONT6823,0.63,2025-07-16 12:48:35
SRCH00000050,471401,KDrama,CONT1427,CONT4587,0.55,2025-07-12 07:46:41
SRCH00000051,556610,IPL,CONT5300,CONT6364,0.88,2025-12-06 01:26:15
