Transaction_ID,User_ID,Plan_Type,Subscription_Amount,Payment_Mode,Payment_Status,Renewal_Status,Timestamp
SUB00000000,698257,Premium,1650.29,NetBanking,Failed,Expired,2026-03-31 23:37:12
SUB00000001,175570,Premium,1570.94,UPI,Pending,Cancelled,2025-09-30 23:56:44
SUB00000002,529153,Family,1241.37,NetBanking,Failed,Cancelled,2026-02-19 21:10:21
SUB00000003,537068,Sports,1587.34,Card,Failed,Cancelled,2025-07-04 18:41:29
SUB00000004,976150,Family,554.85,UPI,Success,Expired,2025-06-18 13:43:21
SUB00000005,616722,Sports,1082.07,Wallet,Success,Renewed,2025-11-18 00:19:59
SUB00000006,648778,Sports,1795.19,UPI,Success,Expired,2026-05-14 03:43:21
SUB00000007,683413,Basic,236.5,Wallet,Failed,Expired,2026-04-08 15:45:29
SUB00000008,208488,Basic,654.99,Wallet,Failed,Renewed,2025-12-04 17:16:49
SUB00000009,974545,Basic,1409.69,NetBanking,Pending,Renewed,2026-05-10 14:34:35
SUB00000010,270936,Sports,1789.32,NetBanking,Pending,Expired,2026-04-09 16:10:29
SUB00000011,131414,Premium,1200.5,UPI,Success,Renewed,2025-09-01 00:02:39
SUB00000012,321361,Basic,1958.21,Wallet,Failed,Expired,2025-12-03 05:43:45
SUB00000013,778037,Family,1324.31,NetBanking,Failed,Renewed,2025-08-27 14:23:21
SUB00000014,986775,Family,220.02,UPI,Pending,Cancelled,2026-05-22 11:17:18
SUB00000015,953756,Premium,353.13,UPI,Success,Cancelled,2025-08-14 18:40:50
SUB00000016,876503,Sports,817.19,UPI,Success,Renewed,2025-08-27 07:56:01
SUB00000017,936820,Sports,1796.35,Card,Failed,Expired,2025-10-23 22:39:22
SUB00000018,635238,Premium,792.45,UPI,Failed,Cancelled,2026-04-16 11:50:14
SUB00000019,382263,Sports,1189.01,Wallet,Pending,Cancelled,2026-05-27 08:16:34
SUB00000020,413768,Family,567.11,UPI,Pending,Expired,2026-04-27 04:37:28
SUB00000021,519357,Family,399.44,NetBanking,Success,Expired,2026-03-08 05:03:57
SUB00000022,141698,Family,1483.23,UPI,Pending,Renewed,2026-03-08 13:39:13
SUB00000023,420698,Family,1727.66,Card,Success,Expired,2026-01-14 04:06:21
SUB00000024,777084,Basic,1962.12,Card,Failed,Expired,2025-07-04 16:54:50
SUB00000025,709291,Premium,1307.55,NetBanking,Pending,Cancelled,2025-12-15 23:40:16
SUB00000026,462509,Premium,591.93,Card,Failed,Cancelled,2025-08-28 21:11:38
SUB00000027,554538,Basic,567.09,NetBanking,Failed,Renewed,2026-01-16 22:33:05
SUB00000028,199789,Sports,1290.11,NetBanking,Pending,Cancelled,2026-02-12 20:34:45
SUB00000029,940057,Family,1667.17,NetBanking,Pending,Cancelled,2026-01-16 01:01:23
SUB00000030,484519,Premium,325.72,NetBanking,Pending,Expired,2025-12-15 20:57:07
SUB00000031,545951,Family,1490.44,Card,Failed,Renewed,2026-01-24 01:25:09
SUB00000032,353948,Sports,1301.45,NetBanking,Success,Renewed,2026-04-07 23:13:29
SUB00000033,418925,Family,1341.9,NetBanking,Failed,Cancelled,2025-12-27 00:41:13
SUB00000034,610293,Basic,512.06,Wallet,Pending,Renewed,2025-07-22 04:40:45
